shop_id,weekend_sales_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,total_sales_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold_vs_average_month_sales,quantity_per_shop_vs_LEMONADE 500MLs_sold_vs_LEMONADE 1Ls_sold,december_customers_vs_NECTO 500MLs_sold_vs_ORANGE CRUSH 500MLs_sold,november_sales_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,ncustomers_visited_morethan5_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,weekday_sales_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,quantity_per_shop_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,LEMONADE 500MLs_sold_vs_GINGER BEER 1Ls_sold_vs_NECTO 500MLs_sold,weekend_sales_vs_SODA 500MLs_sold_vs_NECTO 500MLs_sold,weekday_sales_vs_NECTO 500MLs_sold_vs_ORANGE CRUSH 500MLs_sold,december_customers_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,shop_area_sq_ft_vs_shop_area_sq_ft_vs_NECTO 500MLs_sold,BOTTLED DRINKING WATER 500MLs_sold_vs_NECTO 500MLs_sold,november_customers_vs_FIT O MIXED FRUIT 1Ls_sold_vs_FIT O MANGO 200MLs_sold,november_customers_vs_FIT O ORANGE 200MLs_sold_vs_NECTO 500MLs_sold,ncustomers_visited_morethan10_vs_LEMONADE 500MLs_sold_vs_NECTO 500MLs_sold,october_sales_vs_FIT O ORANGE 200MLs_sold_vs_NECTO 500MLs_sold,shop_area_sq_ft_vs_FIT O ORANGE 1Ls_sold_vs_GINGER BEER 500MLs_sold,weekend_sales_vs_FIT O ORANGE 1Ls_sold_vs_FIT O ORANGE 200MLs_sold,october_customers_vs_FIT O ORANGE 200MLs_sold_vs_NECTO 500MLs_sold,weekend_sales_vs_FIT O ORANGE 200MLs_sold_vs_NECTO 500MLs_sold,LEMONADE 500MLs_sold_vs_FIT O ORANGE 1Ls_sold_vs_NECTO 500MLs_sold,unique_customers_vs_NECTO 500MLs_sold_vs_LEMONADE 1Ls_sold,shop_area_sq_ft_vs_LEMONADE 500MLs_sold_vs_NECTO 500MLs_sold,FIT O MIXED FRUIT 1Ls_sold_vs_LEMONADE 500MLs_sold_vs_BOTTLED DRINKING WATER 500MLs_sold,TONIC PET 500MLs_sold_vs_BOTTLED DRINKING WATER 500MLs_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,shop_area_sq_ft_vs_november_customers_vs_BOTTLED DRINKING WATER 1.5Ls_sold,ncustomers_visited_morethan5_vs_FIT O ORANGE 200MLs_sold_vs_NECTO 500MLs_sold,shop_profile
SHOP116,23374874250,42777018375,14259006125.0,8303400.0,1789320,16595601750.0,4060875.0,19402144125,314837250,613830.0,9938541510,601050200,57759975,19879693,23014,16737350.0,19829225.0,36260.0,3274708125.0,13340600,27827231250,15812875.0,5883471750,453250,1493172.0,1898470,3047800,97978062,329979741.0,1022125.0,Moderate
SHOP005,9332896300,17643885350,5881295116.666666,11674233.0,1062945,6579973400.0,1904630.0,8310989050,123968390,512095.0,4369026180,356185245,24802050,8755847,15410,7680940.0,10289165.0,20148.0,1803279695.0,17029200,28408926100,8925771.0,2840892610,386170,1368063.0,1035943,2836780,11218480,90677405.0,579761.0,Low
SHOP065,1845831000,3703110000,1234370000.0,5485640.0,984000,1444700500.0,439900.0,1857279000,25063700,491376.0,2457393120,336412800,5432500,7207296,8760,4003020.0,7828128.0,19488.0,1196616960.0,5518360,8527739220,5860008.0,1930808880,147552,830880.0,762816,952650,2755750,38688800.0,460152.0,Low
SHOP104,3468183600,6993046800,2331015600.0,2523150.0,428500,2375298400.0,524480.0,3524863200,47739600,131880.0,1576976100,147855000,10215440,5767380,6660,762624.0,4508220.0,5880.0,767396200.0,5040819,9840970965,3541200.0,1320935700,125160,447600.0,451080,671328,5860800,42659280.0,199760.0,Moderate
SHOP091,23971889400,46290136400,15430045466.666668,20635300.0,3803800,19237266900.0,4785900.0,22318247000,327720200,906360.0,17448253680,1273090000,66683540,23762752,40768,24697328.0,54259920.0,36400.0,7146067500.0,32782620,68988867750,34749000.0,13537438200,964600,5587972.0,2460640,5542880,44499840,245101376.0,2702700.0,High
SHOP015,1156170000,2170084000,723361333.3333334,2368800.0,1270080,723656000.0,268600.0,1013914000,13423200,1500.0,1571031000,375744600,3427200,5834430,7260,3854094.0,5262660.0,16500.0,947988600.0,4233600,5746845000,4274010.0,1724053500,150000,509400.0,661500,568700,320892,15563772.0,400530.0,Low
SHOP062,28078364160,55101750480,18367250160.0,19348099.0,11888700,23001995520.0,4378248.0,27023386320,445801608,3882032.0,26100856320,3108933000,103338648,22542300,95496,53681740.0,136994900.0,151248.0,13221030200.0,24948000,74914963200,74485500.0,27349907200,3176208,5385588.0,6238980,13793982,44962008,276264450.0,4264660.0,High
SHOP084,18150813075,34798752885,11599584295.0,17727380.0,2710620,14089167900.0,4332039.0,16647939810,243340098,833055.0,20599898000,966182850,46705692,14085493,28009,35330024.0,32309214.0,94905.0,4823596575.0,19863081,49464429525,24291351.0,8357004075,769785,2354088.0,2168755,6616180,41749307,197702842.0,1994559.0,Low
SHOP032,857627680,1689309440,563103146.6666667,2875278.0,490200,647672480.0,133952.0,831681760,11726624,133280.0,1555039200,171363000,2379104,9996980,9420,2959632.0,3839040.0,7480.0,616654400.0,4825275,4609748780,3109760.0,1013131600,61880,658980.0,480760,832728,1733280,25248384.0,158240.0,Moderate
SHOP041,2518565425,4802749700,1600916566.6666667,4055436.0,1855701,1785251875.0,517845.0,2284184275,32939445,317504.0,5049547495,586492085,7227315,18736016,15170,4473424.0,9741764.0,27060.0,1502455660.0,4816500,6089189825,7494267.0,2627966135,171380,1382766.0,1219504,944240,5407550,66434576.0,540339.0,Low
SHOP051,12546509400,23989671700,7996557233.333333,11676600.0,3826440,9730741700.0,2967800.0,11443162300,175019260,2624400.0,12706479720,1374197400,31863380,24676704,38016,22467316.0,27642816.0,116640.0,4001965920.0,17981600,24032750400,19696608.0,6830360640,923400,2349000.0,3285360,5955840,59281024,180656944.0,1615680.0,High
SHOP066,5449454380,10326023620,3442007873.333333,1775259.0,838500,3560263880.0,1087964.0,4876569240,63062588,0.0,3180372750,290183400,14091100,6627000,8190,4925151.0,3399000.0,14760.0,623760000.0,5895210,4697805500,2601000.0,1247205000,138990,428220.0,578100,705159,10228764,61771160.0,249000.0,High
SHOP088,13878184320,25291069440,8430356480.0,19763700.0,5722251,10357603200.0,3160640.0,11412885120,260139264,1267860.0,14314116960,1142700390,57151808,25636731,81345,31666320.0,51984810.0,109497.0,5268930360.0,18422656,23283580320,34372470.0,10602344610,645456,3392775.0,4085967,10093160,111203400,430760040.0,2414595.0,High
SHOP006,1822585590,3551348430,1183782810.0,6836054.0,1444026,1405872720.0,289044.0,1728762840,25557084,310503.0,4988458200,462412540,5398596,13252304,17342,6929880.0,18465460.0,16211.0,2406645475.0,4001920,11658761790,11979175.0,4568974215,92278,1708912.0,842972,1311414,3955770,67289040.0,724594.0,Low
SHOP120,784664550,1464985575,488328524.99999994,586256.0,828733,541248075.0,170775.0,680321025,10342755,57536.0,2667606760,260515845,2164185,7751381,9831,1709820.0,3772755.0,2784.0,573458760.0,3032205,2563237530,2864736.0,1077302730,32016,384076.0,239888,227808,2211975,20589525.0,234465.0,Low
SHOP036,7835224215,14835830100,4945276700.0,9002934.0,2682243,5965884015.0,1463280.0,7000605885,105154959,4437.0,13413821610,917415795,20467629,6283251,21675,11327690.0,26338032.0,70992.0,4059775440.0,11147058,28930058640,19192320.0,7340462640,891837,1836000.0,1557387,2477325,15663375,49093317.0,1370880.0,Moderate
SHOP027,5756461920,11143498080,3714499360.0,4092750.0,562140,4735671600.0,998448.0,5387036160,78811920,132804.0,2475194220,177724800,17039088,6351048,8424,4345173.0,6925824.0,8568.0,873999360.0,6272640,11884308480,4658688.0,1620587520,80784,864000.0,363528,779688,12418848,110704968.0,281088.0,Moderate
SHOP011,25842616000,47573568000,15857856000.0,18432792.0,7576695,20002456000.0,5409600.0,21730952000,331862400,1296918.0,38976704235,2492563815,66056000,23983407,48132,33757560.0,56849688.0,257544.0,7731703980.0,30652560,53623428200,38610936.0,14688156420,2115540,2810052.0,5675166,10038960,52563200,268320960.0,3074652.0,High
SHOP077,33308163900,59098142700,19699380900.0,26261820.0,6594786,22923672300.0,6026400.0,25789978800,388702800,2954367.0,13420762575,1931937480,88035660,41376528,40470,36536316.0,54161229.0,126711.0,8360674785.0,34863840,86560104950,39715035.0,15915890265,2067390,4954041.0,5681988,9469980,19898460,311520168.0,2879640.0,High
SHOP069,5378572840,10466951700,3488983900.0,5030781.0,3273435,4025111960.0,1015576.0,5088378860,67096636,2499.0,5736386670,1039995825,16015908,9918531,15861,8030772.0,11239074.0,27489.0,1586782890.0,9464742,8811704440,7343490.0,3078061140,364854,2045610.0,1102059,1401988,5759098,59320674.0,581196.0,Low
SHOP016,19447446460,36511095620,12170365206.666666,18446400.0,2315808,15213640665.0,3841051.0,17063649160,257555664,1211364.0,19042194600,825801240,47851872,38277657,15015,14582784.0,35516448.0,55440.0,5446221660.0,50989488,79217121360,26095212.0,9718085520,745668,2550075.0,2985444,2446080,63878360,284560632.0,1919412.0,High
SHOP106,1808804800,3562070600,1187356866.6666665,3282606.0,1075516,1453887600.0,382360.0,1753265800,25584240,392311.0,5918229920,348479690,5411120,14085493,23828,4707725.0,20316700.0,8510.0,2709669100.0,7465700,15374840800,13737360.0,4701397600,102971,2045952.0,525067,785036,2730560,39858200.0,993820.0,Low
SHOP031,13857000420,27424589220,9141529740.0,8412864.0,2768320,11474638020.0,2480172.0,13567588800,213574248,3526.0,9514489725,1019161600,36853260,3640964,30463,20975724.0,32876547.0,63468.0,4855596790.0,11552268,43683348885,22172062.0,8408531945,751038,1345456.0,1050748,5878616,48497096,75800472.0,1504987.0,Moderate
SHOP105,3085431405,5792623690,1930874563.3333333,5429844.0,855360,1770125595.0,494326.0,2707192285,35543634,1044.0,1407077460,244472400,9471924,3500658,5256,6280288.0,4551516.0,13572.0,858270510.0,2309076,11006240385,3519036.0,1664809470,124236,620298.0,460404,948416,626048,31260726.0,266724.0,Low
SHOP118,7085376095,13407725555,4469241851.666667,7508648.0,2642192,5003873430.0,1403593.0,6322349460,90872989,307272.0,8341012365,852341280,19598794,11801359,18941,21931362.0,25315344.0,41664.0,3945434480.0,13778227,38027841320,19098232.0,7232288840,282968,1495471.0,1071112,2018744,6468046,93879018.0,1432696.0,Moderate
SHOP127,24295173760,47229513760,15743171253.333334,15352532.0,2229612,18049482880.0,3976544.0,22934340000,362469536,609588.0,12061673400,727177500,70319392,30202368,44646,17593200.0,39887694.0,44772.0,5984133540.0,31925504,58529282240,27326376.0,11818412760,716352,2552004.0,2920512,7844940,83604950,334296864.0,1934394.0,High
SHOP095,2344209000,4348092000,1449364000.0,1131810.0,813216,1549454550.0,411810.0,2003883000,28368270,124992.0,1216454400,266152800,6122760,7962624,6984,4112640.0,5003712.0,5208.0,916620120.0,4027968,7334025300,4462344.0,1585735200,82584,334080.0,428544,487134,2159220,38384640.0,278568.0,Low
SHOP060,9368699760,18640568520,6213522840.0,3968140.0,3318900,7550814600.0,2163672.0,9271868760,141707160,455396.0,4970194830,1001745030,30718800,16908112,27639,10162944.0,16142656.0,40256.0,1885490400.0,13031928,12020218560,10617520.0,3529746720,317016,816442.0,1700816,3352536,10927116,229872448.0,815184.0,Low
SHOP067,2622871550,5140088850,1713362950.0,3202752.0,761050,1980624100.0,360490.0,2517217300,36555220,103200.0,3385453500,254347250,7531940,11424400,13725,4704660.0,7342725.0,4000.0,1094309125.0,4706312,8917763270,5292950.0,1889356625,94400,964425.0,540800,1036512,7529535,58396260.0,259675.0,Low
SHOP071,1459202250,2835145125,945048375.0,1723167.0,313320,1168152375.0,168075.0,1375942875,20909775,71280.0,1293943200,92834700,4643850,7434240,5925,3598608.0,2433990.0,405.0,304379100.0,3096896,3074052740,1656630.0,555551700,33615,438900.0,285120,511920,3495750,54225600.0,63990.0,Low
SHOP073,7055562125,12620766150,4206922050.0,6312150.0,980720,5175876925.0,1427850.0,5565204025,85591675,353600.0,3806846000,287643700,18974540,9139520,10100,4538772.0,7111440.0,20800.0,901088400.0,8466900,15150891300,4712400.0,1814478000,217100,775080.0,878800,2035150,10314625,111935460.0,367200.0,Low
SHOP035,2045863225,4245146800,1415048933.3333333,7239348.0,1840608,1689379325.0,465405.0,2199283575,32194595,522852.0,4608391480,663690720,6099255,6387084,12496,2217123.0,14946624.0,22440.0,2285015040.0,5213985,9681831600,11368896.0,3704352960,258060,2022768.0,854964,622812,4516736,27348561.0,842688.0,Moderate
SHOP021,5853467895,11197871925,3732623975.0,5375808.0,1018704,4179390240.0,1197282.0,5344404030,75691584,415776.0,2491963320,333819360,16309317,10967424,11232,8402832.0,7645344.0,20496.0,1103601240.0,9445748,13658091755,5015304.0,2087861160,229848,764592.0,989664,1513044,5005260,92290224.0,427056.0,Low
SHOP103,1646084720,3041568880,1013856293.3333334,1803648.0,160740,1277106880.0,240800.0,1395484160,18801664,80640.0,766987980,66065280,3395280,5981232,2100,6041772.0,2299968.0,5544.0,395503680.0,8065344,6737463040,1717056.0,721871040,56448,180576.0,355824,558600,1399650,33059862.0,105600.0,Moderate
SHOP053,12550447000,23875194000,7958398000.0,15015780.0,4735656,9808484000.0,2307200.0,11324747000,172463200,583848.0,7288310900,1498447800,35790440,20176517,34662,14819805.0,32544915.0,64395.0,4106287625.0,13561660,20409707500,21323755.0,7726532125,601020,3971131.0,2648781,2595726,14146020,232977966.0,1420400.0,Moderate
SHOP085,4140103500,7533920250,2511306750.0,3609270.0,1453452,3139258500.0,610650.0,3393816750,52319250,269280.0,4237305930,476118060,10360350,12562737,18513,7297875.0,13634676.0,10098.0,2004306480.0,6598815,12696317400,10137204.0,3643291080,193545,945252.0,1038411,1859715,7422030,83128410.0,537372.0,Low
SHOP063,12639661840,24559469920,8186489973.333333,7999929.0,1569753,9851126840.0,1826584.0,11919808080,165320824,443394.0,3441884940,505150830,37040728,12338352,16065,9581220.0,9755424.0,16767.0,1323120960.0,16380156,18626870080,6422976.0,2552921280,367011,1236627.0,1259388,2709630,11214560,165738976.0,368928.0,High
SHOP048,4661086250,9192242500,3064080833.3333335,2538865.0,965952,3276538750.0,838750.0,4531156250,65071750,203840.0,1692662010,332185750,13176000,9897914,12272,2387112.0,7019246.0,6370.0,1277271580.0,7943875,9436789375,6428422.0,1962852190,113750,741676.0,561470,644280,6622160,82274482.0,353210.0,Moderate
SHOP055,677794600,1229146100,409715366.6666667,979506.0,290682,552947500.0,125020.0,551351500,8514660,126072.0,1284242400,78349950,2045540,9331200,5670,3049840.0,2724372.0,1836.0,249694200.0,4719600,3219524350,1328670.0,610015140,58140,221940.0,440640,428400,793800,22942080.0,112518.0,Moderate
SHOP125,1491934950,2885710050,961903350.0000001,6295871.0,399960,1285409250.0,415530.0,1393775100,25945110,201300.0,2224190540,126185400,4417740,23249248,9966,1113684.0,5870436.0,16104.0,585435730.0,14063040,5728293450,2750484.0,1400249510,120780,569734.0,1379576,607926,8696241,71443944.0,389994.0,High
SHOP014,4589050050,9135863100,3045287700.0,12858360.0,838800,3558629700.0,1115490.0,4546813050,69907650,867350.0,7394175750,251901000,15140340,9517225,18600,5440272.0,21470000.0,41500.0,2817343750.0,5627040,22945250250,15663125.0,5031853125,236550,1381800.0,1280275,3149352,19437000,105975920.0,1223125.0,Moderate
SHOP008,5134255,6594980,2198326.6666666665,0.0,816,0.0,0.0,1460725,44863,192.0,1337495,36825,32368,459684,25,0.0,0.0,0.0,0.0,33222,2114105,0.0,302015,56,0.0,5424,600,7225,0.0,0.0,Moderate
SHOP089,12134011860,25764827460,8588275820.0,15120000.0,4530080,9645690480.0,2620002.0,13630815600,190545600,1092960.0,4560328680,1474208000,41886006,21020896,33304,11097405.0,22380840.0,41400.0,3542225400.0,23580232,25946943600,17501160.0,5577380400,590640,4048920.0,1865760,2389200,12892992,153809604.0,1204280.0,Moderate
SHOP075,10867792140,20921114700,6973704900.0,21885528.0,3852638,8305275060.0,1808325.0,10053322560,160000596,986102.0,16234753320,1169989760,33104403,23123326,34638,13966150.0,31381200.0,53544.0,4221723600.0,18594234,22879562400,23349600.0,7464254400,629142,4177444.0,3163558,4893747,60132321,229747905.0,1242000.0,High
SHOP020,16268217500,31340652500,10446884166.666668,11921315.0,2787840,12339407500.0,3540000.0,15072435000,213786500,973840.0,13389570200,980985600,42834000,15227560,28000,17665290.0,37287600.0,41360.0,5756973600.0,19075172,62860392420,26584320.0,10654303800,443680,3306800.0,1159960,3717700,15750000,148851250.0,2318400.0,Moderate
SHOP086,19314951600,36805356000,12268452000.0,18119250.0,4281450,14546263200.0,4341120.0,17490404400,257051760,2028780.0,12961349100,1359999490,55062000,14855314,22644,29789280.0,29900416.0,67320.0,4464023200.0,22685520,52861972800,23205000.0,7488779480,734400,2689400.0,2022660,5394600,37468494,212397808.0,1683136.0,High
SHOP026,4291111440,8687604240,2895868080.0,8446960.0,2425140,2988972000.0,945168.0,4396492800,60519984,419220.0,7154054325,730944000,14586768,20563920,29295,14833326.0,28736235.0,61200.0,4528841625.0,11291904,31187184930,21923055.0,8065651275,532440,1903500.0,2068560,2567544,1859256,59396064.0,1776555.0,Moderate
SHOP068,5981666420,11962247260,3987415753.3333335,8014560.0,2942436,4362161990.0,1218262.0,5980580840,81925104,507990.0,11580490320,957924240,18370426,15988938,24486,21906868.0,31497480.0,42126.0,5156616150.0,8950819,35162498550,24372180.0,9060275700,403914,1978200.0,1528926,3336509,4573052,78714392.0,1845270.0,Low
SHOP090,1212509700,2314577625,771525875.0,1398210.0,621530,988355775.0,184110.0,1102067925,16206525,105248.0,1496554800,206993150,3309135,13855400,9022,3042336.0,4937088.0,2288.0,594914320.0,3598900,3914066400,3138304.0,1197243840,48620,679744.0,417560,335896,1305414,42941520.0,181792.0,Moderate
SHOP022,5531557500,11180673750,3726891250.0,7573280.0,4223328,4808523750.0,1173000.0,5649116250,91356000,1496690.0,11624287500,1405565620,16974000,31333050,43036,8432865.0,33179132.0,52780.0,4239699660.0,10565625,16274002500,23006396.0,7551137160,471250,2236828.0,2770950,2749110,13413876,142914870.0,1601264.0,High
SHOP052,25033776720,47572184640,15857394880.000002,9258300.0,3447600,17897640000.0,3656784.0,22538407920,327050400,389232.0,5635321670,1115892750,69633408,12943426,23834,21071024.0,19089606.0,22032.0,2850933150.0,17893000,36874076520,14108742.0,5403959490,425952,2264706.0,1132812,4466772,25833252,235184358.0,789378.0,Low
SHOP039,17544488940,34277332320,11425777440.0,14386000.0,4728620,12914882640.0,3649140.0,16732843380,276297516,1643200.0,13229162180,1472378700,53738388,21299200,62296,18268120.0,49420072.0,109200.0,7438268760.0,28556800,45544784420,36911368.0,12207880360,1008800,2567760.0,3328000,7787000,46254780,234305280.0,2539160.0,Moderate
SHOP003,5662791540,11055755340,3685251780.0,3755520.0,796824,4172885640.0,933660.0,5392963800,74922624,316008.0,2781722160,283840200,15139656,13778100,9807,5396400.0,8278977.0,13608.0,1253444850.0,9695700,13064159430,6108438.0,2177359905,190512,433440.0,1224720,2521800,10807314,138417660.0,358995.0,High
SHOP037,5876208000,11258371800,3752790600.0,9693600.0,3389755,4305762000.0,1331280.0,5382163800,89319600,648240.0,8679933600,939097185,19427400,19021293,28527,6559476.0,25978218.0,24420.0,3482264250.0,10266723,21448159200,18296574.0,6151797600,286380,2205644.0,1591740,2868120,7679160,137922120.0,1393716.0,Low
SHOP059,5720017500,11604751200,3868250400.0000005,16315200.0,6413784,4707799650.0,1243620.0,5884733700,86266620,1873920.0,13912849500,2206427340,17106120,23222029,49105,24057696.0,41061052.0,92720.0,4961806490.0,14410035,19654953750,27111328.0,8881127250,658800,4527420.0,3010960,5023200,9458750,120867832.0,1930894.0,High
SHOP043,29003382720,54312345360,18104115120.0,15051936.0,9506112,22218618240.0,6372288.0,25308962640,414370944,1854720.0,55269173760,2896752320,83055024,29246464,71232,21568296.0,122227968.0,135424.0,15228262400.0,35591400,105294889440,78791936.0,28798602240,1377792,3809088.0,3980288,9420432,80688048,355613856.0,6327296.0,High
SHOP028,2479490650,4747561000,1582520333.3333335,6919900.0,1237432,1821469650.0,407680.0,2268070350,33907510,438620.0,4359544000,378842520,7408310,12795328,14700,6193440.0,16461984.0,21840.0,2322009060.0,8479744,14991381930,11730264.0,4283251980,178360,1140160.0,1230320,1569750,2730000,65734240.0,704256.0,Low
SHOP099,6442992270,12265907940,4088635980.0000005,6568100.0,1479630,4359577365.0,1217502.0,5822915670,84531447,259160.0,5135461240,471772570,18262530,8382400,19716,9634812.0,17187051.0,28644.0,2806867875.0,3649360,19659386670,13534941.0,5036702370,165044,1683300.0,709280,1846944,7515612,94484520.0,951762.0,Low
SHOP033,20287662200,37501301500,12500433833.333334,18474183.0,7300314,14643406050.0,4342130.0,17213639300,257074610,3332160.0,28781896900,2195632670,57234060,53593664,40584,45637020.0,77410242.0,208260.0,11748823695.0,28164144,64452342220,56164696.0,21810868660,2738619,5164047.0,8080488,5868720,19918080,212453280.0,4668139.0,High
